post_id,platform,post_type,day_of_week,post_hour,hashtag_count,caption_length,followers_count,is_paid_promotion,ad_spend_usd,video_duration_sec,impressions,likes,comments,shares,total_engagements,engagement_rate_pct
29,Twitter/X,Image,Friday,13,13,40.0,83333,0,0.0,0,37723,663,113,159,935,2.25
30,Instagram,Reel/Short,Monday,6,9,136.0,7913,0,0.0,146,4386,81,6,25,112,2.38
31,Twitter/X,Carousel,Wednesday,4,5,136.0,7787,1,47.01,0,2316,26,4,4,34,1.46
32,Instagram,Reel/Short,Saturday,17,10,13.0,9788,1,86.1,12,14223,577,51,145,773,5.32
33,Instagram,Image,Tuesday,1,9,34.0,3893,0,0.0,0,859,14,1,2,17,2.34
34,TikTok,Image,Friday,10,0,119.0,2048,1,95.61,0,1641,22,2,8,32,2.23
35,TikTok,Text,Wednesday,21,13,8.0,42523,0,0.0,0,18486,198,43,70,311,1.72
36,TikTok,Reel/Short,Sunday,7,5,241.0,1759,0,0.0,11,1609,26,5,9,40,2.65
37,Facebook,Text,Saturday,0,3,27.0,17535,1,121.51,0,7060,50,7,4,61,1.18
38,Instagram,Image,Sunday,21,2,20.0,35427,1,102.03,0,44275,926,175,163,1264,3.36
39,LinkedIn,Text,Saturday,11,1,26.0,2707,1,85.33,0,588,2,0,0,2,0.56
40,Facebook,Text,Tuesday,1,6,76.0,4833,0,0.0,0,771,3,0,0,3,0.54
41,Instagram,Carousel,Thursday,17,8,234.0,50741,0,0.0,0,32516,306,40,68,414,1.42
42,Facebook,Text,Saturday,6,11,111.0,24008,1,39.96,0,5421,47,4,6,57,1.15
43,Instagram,Reel/Short,Thursday,16,2,212.0,6774,0,0.0,96,4528,80,15,22,117,2.56
44,TikTok,Carousel,Sunday,21,5,212.0,50134,1,20.68,0,23246,527,99,87,713,3.61
45,Instagram,Image,Saturday,22,8,267.0,50371,0,0.0,0,35513,465,46,132,643,1.69
46,LinkedIn,Video,Tuesday,13,1,55.0,17960,1,81.34,83,5576,34,3,4,41,0.93
47,Facebook,Image,Monday,23,6,69.0,4963,0,0.0,0,2403,27,1,4,32,1.52
48,Twitter/X,Video,Tuesday,6,4,269.0,8477,0,0.0,63,2574,21,2,5,28,1.25
49,Twitter/X,Video,Tuesday,21,4,179.0,18306,0,0.0,150,8448,112,16,27,155,1.9
50,Instagram,Image,Monday,2,10,156.0,10856,1,16.97,0,2362,33,3,2,38,1.85
51,TikTok,Video,Monday,5,6,270.0,37528,1,126.76,87,54375,1072,203,372,1647,3.12
52,LinkedIn,Image,Wednesday,19,8,167.0,2483,0,0.0,0,905,9,1,2,12,1.36
53,TikTok,Reel/Short,Saturday,1,3,242.0,2581,1,103.89,113,902,25,3,9,37,4.66
54,TikTok,Reel/Short,Sunday,16,8,203.0,16300,0,0.0,59,18838,557,113,176,846,4.19
55,Twitter/X,Image,Wednesday,11,14,20.0,7779,0,0.0,0,4059,33,3,6,42,1.04
56,TikTok,Reel/Short,Monday,11,13,280.0,6702,0,0.0,139,9239,274,31,80,385,3.76
57,Instagram,Carousel,Thursday,16,12,243.0,1910,0,0.0,0,1632,29,4,9,42,2.79
58,Instagram,Image,Sunday,9,10,73.0,13650,0,0.0,0,4396,58,6,22,86,2.12
59,Instagram,Image,Thursday,2,9,10.0,12606,0,0.0,0,9325,118,11,35,164,1.71
60,Facebook,Carousel,Tuesday,19,8,224.0,27414,1,91.58,0,20488,341,45,120,506,2.74
61,Facebook,Text,Friday,17,12,258.0,14411,1,25.03,0,3756,17,3,3,23,0.68
62,Instagram,Text,Tuesday,12,3,299.0,11546,0,0.0,0,8161,96,16,11,123,1.56
63,TikTok,Image,Tuesday,11,2,111.0,48761,0,,0,23549,344,57,112,513,2.06
64,Facebook,Image,Friday,16,1,299.0,3153,1,52.31,0,784,3,0,1,4,0.68
65,Instagram,Video,Saturday,3,8,122.0,24101,1,269.78,115,29347,936,135,142,1213,4.58
66,Twitter/X,Image,Monday,22,11,172.0,2125,0,0.0,0,855,2,0,0,2,0.35
67,Instagram,Image,Thursday,9,1,255.0,5312,1,102.2,0,922,7,0,1,8,1.06
68,TikTok,Image,Tuesday,10,5,86.0,3519,0,0.0,0,1970,36,4,7,47,2.46
69,Instagram,Reel/Short,Friday,5,4,58.0,31575,0,0.0,79,40332,779,116,77,972,2.9
70,TikTok,Reel/Short,Wednesday,5,13,244.0,12432,0,0.0,142,4005,69,6,8,83,2.74
71,LinkedIn,Video,Tuesday,8,4,16.0,13162,0,0.0,32,1324,9,0,2,11,1.09
72,Instagram,Reel/Short,Thursday,14,3,213.0,3954,1,118.24,11,2297,18,2,3,23,1.15
73,Instagram,Video,Monday,1,5,169.0,9607,0,0.0,146,11076,190,25,43,258,2.62
74,TikTok,Video,Tuesday,3,4,298.0,5768,0,0.0,81,7719,149,18,42,209,2.74
75,LinkedIn,Image,Tuesday,4,10,11.0,20369,1,120.9,0,6039,52,4,14,70,1.16
76,LinkedIn,Carousel,Saturday,16,3,82.0,4490,1,21.45,0,1688,13,1,1,15,1.09
77,LinkedIn,Reel/Short,Friday,7,12,69.0,57686,1,112.07,174,17723,204,24,22,250,1.83
78,Instagram,Carousel,Wednesday,7,8,106.0,2115,0,0.0,0,890,14,1,3,18,2.11
79,Facebook,Video,Wednesday,21,12,291.0,5501,0,0.0,133,4712,35,4,9,48,1.03
80,Instagram,Carousel,Sunday,11,5,175.0,84534,1,122.48,0,27021,704,66,93,863,4.33
81,TikTok,Image,Monday,20,10,81.0,8277,0,,0,7200,166,32,33,231,3.78
82,Twitter/X,Reel/Short,Sunday,7,9,52.0,3145,0,0.0,52,1970,16,2,5,23,1.16
83,Facebook,Carousel,Thursday,18,9,259.0,17000,0,0.0,0,3992,43,5,15,63,1.6
84,Instagram,Video,Monday,2,12,86.0,7919,0,0.0,147,5898,83,8,18,109,2.24
85,Facebook,Carousel,Tuesday,17,9,213.0,5326,0,0.0,0,2562,27,3,3,33,1.78
86,Facebook,Carousel,Tuesday,20,12,213.0,4001,0,0.0,0,2916,15,1,2,18,0.82
87,LinkedIn,Image,Wednesday,18,2,88.0,280747,0,0.0,0,62946,463,86,56,605,0.93
88,Twitter/X,Carousel,Thursday,18,9,14.0,10130,0,,0,3349,21,3,2,26,0.85
89,TikTok,Image,Friday,14,5,33.0,1606,0,0.0,0,1251,17,1,3,21,2.02
90,Facebook,Text,Thursday,5,13,120.0,69084,0,0.0,0,27585,148,21,31,200,0.68
91,Instagram,Reel/Short,Tuesday,15,0,273.0,26165,1,119.23,21,13190,291,30,29,350,3.05
92,LinkedIn,Reel/Short,Friday,7,4,51.0,5749,1,89.12,147,3937,35,2,10,47,1.22
93,LinkedIn,Carousel,Thursday,15,9,95.0,4786,0,0.0,0,1985,10,2,2,14,0.84
94,Twitter/X,Carousel,Thursday,17,5,57.0,28024,0,0.0,0,15419,147,12,34,193,1.33
95,LinkedIn,Image,Friday,19,14,222.0,10182,0,0.0,0,1520,12,1,4,17,1.32
96,Facebook,Text,Tuesday,15,10,81.0,1605,0,0.0,0,271,1,0,0,1,0.88
97,Twitter/X,Image,Thursday,10,7,208.0,95412,0,0.0,0,11988,74,13,29,116,1.03
98,Facebook,Video,Friday,6,10,48.0,8288,0,0.0,170,3197,27,6,4,37,1.33
99,Instagram,Image,Saturday,16,14,160.0,69225,1,14.2,0,77583,1038,217,165,1420,2.18
100,Instagram,Image,Saturday,16,14,6.0,54517,0,0.0,0,15789,262,49,59,370,2.46
101,Instagram,Carousel,Tuesday,11,8,61.0,4442,0,0.0,0,3212,23,2,4,29,0.97
102,Twitter/X,Image,Friday,12,10,294.0,41627,0,0.0,0,5227,54,4,7,65,1.54
103,Facebook,Text,Saturday,9,2,62.0,6525,1,,0,2210,15,2,3,20,0.92
104,Twitter/X,Video,Friday,6,1,258.0,1714,0,0.0,98,398,3,0,0,3,1.21
105,TikTok,Image,Thursday,13,12,184.0,8374,1,61.26,0,3493,77,9,20,106,3.15
106,Instagram,Carousel,Tuesday,22,3,161.0,20689,0,0.0,0,10540,48,11,10,69,0.71
107,Facebook,Image,Saturday,0,7,39.0,8030,1,203.96,0,4824,64,5,15,84,1.7
108,LinkedIn,Image,Sunday,16,10,79.0,9530,1,15.75,0,1325,12,1,3,16,1.56
109,Instagram,Text,Thursday,3,7,293.0,47000,1,28.03,0,10454,93,8,31,132,1.21
110,Instagram,Image,Sunday,20,2,79.0,15020,0,0.0,0,3713,60,8,9,77,2.26
111,Instagram,Reel/Short,Sunday,4,3,82.0,5283,0,0.0,18,8198,157,29,56,242,2.79
112,Instagram,Image,Monday,19,2,259.0,28918,0,0.0,0,24696,386,50,37,473,2.42
113,TikTok,Image,Monday,23,9,269.0,16604,1,12.78,0,15464,291,59,79,429,2.75
114,TikTok,Text,Tuesday,22,1,71.0,834,0,0.0,0,431,3,0,0,3,1.16
115,Twitter/X,Video,Saturday,6,3,225.0,21400,0,,18,4742,54,6,15,75,1.49
116,TikTok,Image,Saturday,9,5,168.0,20558,0,0.0,0,18201,487,79,128,694,3.4
117,TikTok,Video,Saturday,16,10,224.0,13658,0,0.0,48,6049,153,13,48,214,3.85
118,Instagram,Image,Friday,6,13,,35627,0,0.0,0,18474,393,73,40,506,3.14
119,TikTok,Reel/Short,Thursday,0,10,258.0,6376,0,0.0,43,6949,114,14,40,168,2.72
120,Twitter/X,Video,Saturday,6,4,214.0,19344,0,0.0,144,9446,144,14,16,174,1.94
121,TikTok,Text,Thursday,23,2,192.0,2383,0,0.0,0,461,3,0,0,3,1.0
122,TikTok,Reel/Short,Tuesday,10,1,195.0,20906,1,52.56,66,6947,163,33,22,218,3.46
123,Facebook,Video,Sunday,8,8,219.0,114504,1,41.69,57,84869,1414,195,263,1872,2.13
124,Instagram,Reel/Short,Saturday,11,14,90.0,4472,1,74.55,57,5499,118,19,33,170,3.06
125,Instagram,Video,Tuesday,2,0,110.0,5791,0,0.0,160,1689,25,4,3,32,2.12
126,Facebook,Reel/Short,Saturday,3,8,23.0,6117,1,217.54,167,1734,36,4,4,44,3.33
127,TikTok,Image,Monday,3,0,51.0,15413,0,0.0,0,17050,198,37,50,285,1.67
128,TikTok,Carousel,Wednesday,12,14,69.0,4149,0,0.0,0,5597,199,23,62,284,4.54
129,Instagram,Video,Tuesday,22,13,150.0,21234,0,0.0,135,26288,291,27,69,387,1.56
130,Twitter/X,Video,Saturday,18,6,290.0,33911,0,0.0,47,12383,209,27,60,296,2.6
131,Facebook,Carousel,Wednesday,9,5,70.0,24047,0,0.0,0,10233,103,12,27,142,1.66
132,Instagram,Text,Tuesday,4,6,9.0,1909,1,9.08,0,431,3,0,0,3,1.12
133,Instagram,Image,Friday,6,14,97.0,39922,0,0.0,0,28331,361,39,123,523,1.78
134,Facebook,Image,Saturday,23,2,98.0,37462,0,0.0,0,7311,49,5,12,66,1.11
135,TikTok,Text,Friday,15,13,110.0,33295,0,0.0,0,6619,64,10,11,85,1.35
136,Facebook,Carousel,Monday,0,2,137.0,20133,0,0.0,0,3386,30,4,9,43,1.26
137,Twitter/X,Reel/Short,Saturday,11,12,83.0,17021,0,0.0,59,11418,196,29,63,288,2.27
138,LinkedIn,Text,Sunday,1,10,216.0,41590,0,0.0,0,7858,44,6,5,55,0.93
139,Facebook,Reel/Short,Monday,6,0,12.0,110842,1,62.26,16,71378,1003,168,219,1390,1.86
140,TikTok,Text,Wednesday,10,3,163.0,4682,0,0.0,0,3069,21,1,6,28,1.0
141,TikTok,Image,Tuesday,12,11,272.0,43736,0,0.0,0,52050,882,140,204,1226,2.51
142,Instagram,Image,Thursday,1,1,153.0,12150,1,59.98,0,6934,102,10,17,129,1.87
143,Facebook,Text,Monday,6,9,95.0,11583,1,234.44,0,4629,23,3,6,32,0.8
144,Facebook,Carousel,Thursday,14,7,240.0,2464,1,39.7,0,1000,7,0,1,8,1.04
145,Instagram,Image,Thursday,10,2,293.0,9766,0,0.0,0,2631,47,9,8,64,2.71
146,Instagram,Video,Tuesday,1,6,172.0,4460,0,0.0,55,5505,94,18,33,145,2.43
147,Twitter/X,Reel/Short,Wednesday,6,6,197.0,8020,0,,68,1219,10,1,2,13,1.18
148,Twitter/X,Carousel,Tuesday,3,11,191.0,3991,1,20.91,0,1604,15,1,5,21,1.55
149,Instagram,Video,Saturday,10,8,275.0,8153,1,77.01,168,4725,71,7,20,98,2.08
150,Instagram,Video,Monday,1,5,118.0,8546,0,0.0,132,6222,73,14,18,105,1.62
151,TikTok,Image,Thursday,15,0,15.0,14860,0,,0,11415,139,17,40,196,1.62
152,Instagram,Video,Tuesday,6,7,59.0,2261,1,75.22,68,1029,23,5,4,32,3.72
153,Instagram,Video,Tuesday,12,0,262.0,2724,0,0.0,5,2667,42,5,11,58,2.42
154,Facebook,Image,Tuesday,4,2,69.0,19892,0,0.0,0,10697,35,7,8,50,0.45
155,TikTok,Text,Monday,16,10,176.0,5557,0,0.0,0,1574,17,4,4,25,1.82
156,Instagram,Video,Wednesday,20,4,276.0,43563,0,0.0,143,32881,612,96,69,777,2.53
157,LinkedIn,Reel/Short,Sunday,11,7,154.0,17116,1,120.61,91,5091,29,2,5,36,0.94
158,LinkedIn,Reel/Short,Tuesday,18,8,150.0,26041,0,0.0,6,19184,190,25,30,245,1.49
159,Instagram,Image,Monday,6,14,213.0,63054,0,0.0,0,50304,867,159,192,1218,2.24
160,LinkedIn,Carousel,Thursday,5,6,290.0,9502,0,0.0,0,4618,37,6,12,55,1.09
161,Facebook,Video,Saturday,7,8,14.0,7101,0,0.0,123,1951,34,3,11,48,2.41
162,Twitter/X,Reel/Short,Sunday,12,10,231.0,34852,0,0.0,136,8947,117,13,14,144,1.7
163,Twitter/X,Image,Friday,4,2,190.0,23399,0,0.0,0,3643,27,4,4,35,1.02
164,Twitter/X,Carousel,Sunday,1,12,66.0,10871,0,0.0,0,2315,18,2,1,21,1.12
165,Instagram,Carousel,Sunday,8,4,89.0,61734,1,93.8,0,47230,606,102,98,806,1.61
166,TikTok,Image,Monday,10,9,138.0,10577,1,12.57,0,12539,266,47,78,391,2.88
167,Facebook,Image,Friday,23,7,175.0,13850,0,0.0,0,4341,43,8,14,65,1.39
168,Instagram,Carousel,Tuesday,5,11,217.0,13675,0,0.0,0,15030,239,21,34,294,2.34
169,Instagram,Text,Tuesday,6,0,22.0,4778,1,96.33,0,588,6,0,0,6,1.37
170,Twitter/X,Video,Sunday,6,7,64.0,14549,0,0.0,10,10550,81,7,11,99,1.18
171,LinkedIn,Carousel,Monday,18,6,92.0,62095,1,161.89,0,13424,98,23,19,140,1.23
172,Instagram,Video,Friday,5,0,31.0,21795,0,0.0,48,25095,335,51,110,496,2.09
173,Twitter/X,Text,Tuesday,10,12,72.0,13824,1,48.42,0,1036,6,0,1,7,0.95
174,Instagram,Image,Thursday,10,12,282.0,11181,1,59.75,0,11072,228,28,71,327,3.11
175,Twitter/X,Reel/Short,Wednesday,6,9,44.0,19224,1,152.04,50,5258,97,10,21,128,2.42
176,Instagram,Image,Wednesday,1,11,113.0,30477,1,214.6,0,13214,269,48,37,354,2.8
177,LinkedIn,Video,Tuesday,18,9,78.0,26112,1,212.35,174,11163,148,28,22,198,2.1
178,Facebook,Image,Friday,3,14,70.0,9273,0,0.0,0,3029,29,4,2,35,1.3
179,TikTok,Image,Saturday,5,11,172.0,19096,0,0.0,0,18450,246,18,72,336,1.9
180,Instagram,Carousel,Tuesday,16,5,266.0,22650,0,0.0,0,25245,364,73,113,550,2.05
181,Facebook,Image,Saturday,4,0,278.0,4412,1,24.72,0,2201,12,1,3,16,0.87
182,Instagram,Reel/Short,Saturday,6,1,241.0,16075,1,57.89,119,19675,443,64,37,544,2.92
183,TikTok,Image,Friday,8,4,219.0,1239,0,0.0,0,361,7,0,2,9,3.02
184,TikTok,Video,Saturday,0,1,290.0,22715,0,0.0,80,25131,508,47,48,603,3.27
185,Instagram,Video,Thursday,0,13,153.0,27622,1,52.23,125,18692,249,19,26,294,2.02
186,LinkedIn,Image,Friday,18,9,111.0,30403,0,0.0,0,17021,145,20,27,192,1.15
187,TikTok,Image,Tuesday,5,0,145.0,8651,0,0.0,0,5152,60,9,11,80,1.6
188,Twitter/X,Video,Sunday,17,5,80.0,18768,1,25.62,136,10621,96,8,32,136,1.43
189,Twitter/X,Video,Thursday,9,7,13.0,63981,0,0.0,171,16025,162,20,48,230,1.63
190,Instagram,Video,Monday,10,7,200.0,63268,0,0.0,153,30080,586,108,64,758,2.66
191,Instagram,Carousel,Wednesday,0,12,299.0,12937,0,0.0,0,7071,183,15,23,221,3.54
192,TikTok,Carousel,Tuesday,0,12,284.0,15572,0,0.0,0,8742,195,20,31,246,3.33
193,TikTok,Image,Tuesday,12,7,122.0,45342,0,0.0,0,26046,588,70,57,715,2.94
194,Twitter/X,Video,Tuesday,4,10,294.0,2563,0,0.0,87,374,4,0,0,4,1.57
195,Facebook,Reel/Short,Thursday,19,5,65.0,9363,0,0.0,13,9555,123,14,37,174,2.01
196,Facebook,Carousel,Monday,0,10,55.0,58053,0,0.0,0,9493,69,14,9,92,1.02
197,LinkedIn,Carousel,Sunday,19,2,56.0,39054,0,0.0,0,26494,271,38,98,407,1.7
198,TikTok,Video,Friday,2,0,126.0,20054,0,0.0,144,7930,179,21,34,234,3.04
199,TikTok,Text,Monday,17,1,171.0,2549,1,6.26,0,410,3,0,0,3,1.17
200,LinkedIn,Text,Thursday,8,4,12.0,12646,0,0.0,0,2388,8,1,1,10,0.56
201,Twitter/X,Carousel,Tuesday,13,12,49.0,6982,1,88.63,0,3287,58,5,15,78,2.38
202,Instagram,Reel/Short,Wednesday,16,9,249.0,19228,1,226.72,145,16048,568,84,114,766,4.65
203,Instagram,Image,Tuesday,22,4,288.0,5484,0,0.0,0,3663,26,3,2,31,1.16
204,TikTok,Image,Friday,13,9,111.0,4322,1,62.31,0,2664,55,8,21,84,3.43
205,Twitter/X,Text,Saturday,3,13,31.0,1378,0,0.0,0,382,1,0,0,1,0.71
206,Instagram,Reel/Short,Wednesday,4,0,197.0,51225,1,52.07,163,43446,1073,183,352,1608,3.41
207,Instagram,Image,Tuesday,20,0,66.0,8606,0,0.0,0,4961,102,8,7,117,2.71
208,LinkedIn,Image,Sunday,16,14,66.0,15880,1,72.53,0,7396,83,13,23,119,1.59
209,Instagram,Image,Wednesday,21,8,286.0,13326,0,0.0,0,13328,166,26,36,228,1.74
210,Instagram,Image,Saturday,1,1,125.0,4129,1,145.85,0,2325,35,2,7,44,2.0
211,Twitter/X,Text,Monday,22,6,284.0,3344,0,0.0,0,1024,5,0,0,5,0.82
212,LinkedIn,Carousel,Thursday,21,9,43.0,4421,1,64.75,0,2809,25,2,3,30,1.24
213,LinkedIn,Video,Tuesday,4,3,281.0,6030,0,0.0,30,2199,9,1,2,12,0.64
214,Instagram,Video,Friday,3,6,98.0,19995,1,187.45,75,8587,234,38,68,340,3.52
215,LinkedIn,Image,Monday,3,7,119.0,5567,0,0.0,0,2562,13,1,3,17,0.79
216,Instagram,Image,Tuesday,5,4,180.0,91230,0,0.0,0,30646,529,50,97,676,2.65
217,Facebook,Carousel,Monday,19,12,125.0,41351,0,0.0,0,7945,94,11,9,114,1.91
218,LinkedIn,Reel/Short,Friday,20,11,17.0,32506,1,40.1,176,12377,176,33,43,252,1.87
219,Twitter/X,Reel/Short,Tuesday,12,11,167.0,11712,0,0.0,130,9262,112,20,17,149,1.78
220,TikTok,Image,Saturday,21,0,279.0,70665,1,189.38,0,110506,3970,308,361,4639,5.37
221,LinkedIn,Reel/Short,Saturday,4,3,180.0,10511,0,0.0,96,5590,64,7,14,85,1.45
222,Twitter/X,Text,Friday,22,9,177.0,12908,1,180.62,0,4348,27,2,5,34,0.81
223,Instagram,Text,Wednesday,22,2,279.0,16106,0,0.0,0,2436,16,2,1,19,0.85
224,Facebook,Video,Friday,6,9,68.0,28911,0,0.0,40,5088,48,7,5,60,1.5
225,Instagram,Video,Wednesday,19,14,105.0,26919,1,237.08,30,28007,686,129,167,982,3.15
226,Instagram,Video,Tuesday,0,11,70.0,7921,0,0.0,49,9560,190,20,17,227,2.99
227,TikTok,Image,Wednesday,13,4,49.0,7433,0,0.0,0,6610,58,10,21,89,1.47
228,Facebook,Image,Tuesday,23,9,91.0,27008,0,0.0,0,3821,31,5,5,41,1.23
229,TikTok,Image,Tuesday,3,12,71.0,29341,0,0.0,0,12513,235,44,22,301,2.68
230,Twitter/X,Video,Sunday,16,9,263.0,8667,0,0.0,80,2480,24,3,7,34,1.59
231,LinkedIn,Text,Thursday,20,12,209.0,2331,1,48.66,0,387,1,0,0,1,0.64
232,Twitter/X,Video,Tuesday,13,5,182.0,10635,0,0.0,109,1894,26,2,3,31,1.83
233,Twitter/X,Image,Wednesday,15,1,284.0,26525,0,0.0,0,14287,74,10,14,98,0.77
234,Facebook,Reel/Short,Thursday,13,6,21.0,97339,0,0.0,99,68563,981,204,79,1264,2.13
235,Instagram,Reel/Short,Thursday,15,12,206.0,3576,0,0.0,83,3760,81,17,22,120,3.23
236,LinkedIn,Text,Tuesday,23,2,176.0,8356,0,0.0,0,552,2,0,0,2,0.57
237,Instagram,Reel/Short,Friday,19,14,266.0,8705,1,42.43,161,3338,63,9,20,92,3.13
238,Instagram,Carousel,Friday,7,0,198.0,59360,1,9.13,0,44292,766,146,195,1107,2.51
239,Twitter/X,Reel/Short,Saturday,23,9,153.0,12855,0,0.0,82,10493,119,9,32,160,1.74
240,Instagram,Image,Thursday,2,2,39.0,4924,1,105.92,0,3093,61,4,16,81,2.55
241,TikTok,Video,Tuesday,18,8,33.0,24700,0,0.0,136,40432,1177,220,335,1732,4.7
242,TikTok,Image,Sunday,0,9,267.0,8560,1,23.19,0,9638,222,25,43,290,3.38
243,TikTok,Image,Friday,1,10,225.0,3474,0,0.0,0,970,19,4,3,26,2.98
244,Facebook,Image,Sunday,14,10,57.0,5003,1,13.38,0,1244,14,1,1,16,1.53
245,Instagram,Carousel,Tuesday,21,14,283.0,89989,0,0.0,0,91536,1924,278,616,2818,3.27
246,TikTok,Text,Tuesday,9,5,80.0,20386,0,0.0,0,7969,79,12,22,113,1.38
247,Facebook,Carousel,Thursday,17,10,180.0,15041,0,0.0,0,4566,28,5,4,37,0.99
248,TikTok,Image,Sunday,21,5,14.0,10148,0,0.0,0,8740,222,27,62,311,3.22
249,TikTok,Reel/Short,Saturday,13,3,121.0,18423,0,0.0,21,23167,721,71,168,960,4.33
250,TikTok,Carousel,Thursday,16,14,284.0,18183,0,0.0,0,22490,478,84,96,658,2.94
251,Instagram,Video,Monday,12,7,222.0,18423,0,0.0,59,7232,137,16,10,163,2.77
252,Facebook,Carousel,Sunday,0,4,179.0,15158,1,73.71,0,4949,44,4,8,56,1.34
253,TikTok,Image,Friday,4,6,238.0,34741,0,0.0,0,25944,428,75,118,621,2.57
254,Facebook,Video,Friday,12,8,256.0,13703,0,0.0,85,10385,95,7,8,110,1.27
255,Instagram,Reel/Short,Friday,13,12,299.0,4556,0,0.0,154,5712,214,39,38,291,4.74
256,Twitter/X,Image,Wednesday,23,12,10.0,6811,1,121.46,0,3790,33,5,12,50,1.31
257,TikTok,Video,Tuesday,2,13,25.0,1514,1,209.59,114,1831,59,11,14,84,4.15
258,LinkedIn,Reel/Short,Thursday,14,4,77.0,124181,0,0.0,144,54293,477,63,120,660,1.4
259,Twitter/X,Text,Friday,18,10,40.0,34510,0,0.0,0,5232,39,7,7,53,0.97
260,Instagram,Image,Monday,16,13,237.0,5361,0,0.0,0,3009,25,2,2,29,1.28
261,Twitter/X,Image,Friday,2,4,220.0,9798,1,49.17,0,4267,39,3,14,56,1.37
262,TikTok,Image,Saturday,15,13,210.0,6630,0,0.0,0,7664,146,11,49,206,2.76
263,Instagram,Carousel,Tuesday,13,3,48.0,72896,0,0.0,0,100259,1554,201,389,2144,2.08
264,Twitter/X,Video,Sunday,11,5,95.0,2802,0,0.0,17,1452,12,0,1,13,1.12
265,TikTok,Image,Tuesday,11,1,97.0,15152,0,0.0,0,11151,146,21,19,186,1.88
266,LinkedIn,Reel/Short,Sunday,10,2,87.0,11856,0,0.0,164,1639,10,1,1,12,0.88
267,LinkedIn,Carousel,Sunday,16,0,286.0,33174,1,55.64,0,4505,43,5,11,59,1.59
268,LinkedIn,Image,Thursday,7,1,25.0,11915,0,0.0,0,1750,13,2,1,16,1.15
269,Facebook,Carousel,Wednesday,16,1,232.0,1931,0,0.0,0,304,2,0,0,2,1.4
270,Instagram,Carousel,Sunday,20,7,134.0,10135,0,0.0,0,7944,153,27,34,214,2.72
271,TikTok,Image,Sunday,22,7,179.0,4585,0,0.0,0,2741,45,6,3,54,2.34
272,TikTok,Image,Thursday,19,1,112.0,14581,0,0.0,0,15452,350,66,93,509,3.06
